Accession,Serotype,SRA_Accession,Submitters,Release_Date,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample
MW946211,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,01555/03,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2003,
MW946213,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,02817/06,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2006,
MW946215,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,01535/06,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2006,
MW946216,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,00208/05,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2005,
MW946217,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,00330/11,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2011,
MW946218,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,01518/10,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2010,
MW946219,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,01565/00,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2000,
MW946221,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,01380/06,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2006,
MW946222,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,01510/10,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2010,
MW946223,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,00349/03,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2003,
MW946227,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,01893/02,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2002,
MW946228,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,01302/11,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2011,
MW946229,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,02129/06,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2006,
MW946231,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,00617/05,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2005,
MW946232,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,00785/11,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2011,
MW946233,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,00046/11,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2011,
MW946234,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,02110/02,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2002,
MW946235,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,00494/01,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2001,
MW946236,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,03878/01,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2001,
MW946237,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,00532/04,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2004,
MW946238,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,00738/14,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2014,
MW946239,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,03410/99,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,1999,
MW946240,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,00297/13,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2013,
MW946242,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,01031/13,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2013,
MW946243,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,02913/02,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2002,
MW946244,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,01570/13,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2013,
MW946248,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,01145/06,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2006,
MW946249,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,02478/01,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2001,
MW946250,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,01710/06,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2006,
MW946251,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,04347/99,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,1999,
MW946252,1,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",2021-04-23T00:00:00Z,00758/14,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Thailand,,Homo sapiens,,2014,
MW362471,1,,"Wongsurawat,T., Punyadee,N., Jenjaroenpun,P., Mairiang,D., Tangthawornchaikul,N., Malasit,P., Avirutnan,P., Suriyaphol,P., Chin-inmanu,K.",2021-02-22T00:00:00Z,P1 Thailand 2005,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10735,complete,,,,Thailand,,Homo sapiens,blood,2005-11,
MW362472,1,,"Wongsurawat,T., Punyadee,N., Jenjaroenpun,P., Mairiang,D., Tangthawornchaikul,N., Malasit,P., Avirutnan,P., Suriyaphol,P., Chin-inmanu,K.",2021-02-22T00:00:00Z,P3.1 Thailand 2005,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10727,partial,,,,Thailand,,Homo sapiens,blood,2005-11,
MW362473,1,,"Wongsurawat,T., Punyadee,N., Jenjaroenpun,P., Mairiang,D., Tangthawornchaikul,N., Malasit,P., Avirutnan,P., Suriyaphol,P., Chin-inmanu,K.",2021-02-22T00:00:00Z,P3.2 Thailand 2005,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10725,partial,,,,Thailand,,Homo sapiens,blood,2005-11,
MW362474,1,,"Wongsurawat,T., Punyadee,N., Jenjaroenpun,P., Mairiang,D., Tangthawornchaikul,N., Malasit,P., Avirutnan,P., Suriyaphol,P., Chin-inmanu,K.",2021-02-22T00:00:00Z,P3.3 Thailand 2005,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10735,complete,,,,Thailand,,Homo sapiens,blood,2005-11,
MW362475,1,,"Wongsurawat,T., Punyadee,N., Jenjaroenpun,P., Mairiang,D., Tangthawornchaikul,N., Malasit,P., Avirutnan,P., Suriyaphol,P., Chin-inmanu,K.",2021-02-22T00:00:00Z,P5.1 Thailand 2005,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10708,partial,,,,Thailand,,Homo sapiens,blood,2005-11,
MW362476,1,,"Wongsurawat,T., Punyadee,N., Jenjaroenpun,P., Mairiang,D., Tangthawornchaikul,N., Malasit,P., Avirutnan,P., Suriyaphol,P., Chin-inmanu,K.",2021-02-22T00:00:00Z,P5.2 Thailand 2005,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10708,partial,,,,Thailand,,Homo sapiens,blood,2005-11,
MW362477,1,,"Wongsurawat,T., Punyadee,N., Jenjaroenpun,P., Mairiang,D., Tangthawornchaikul,N., Malasit,P., Avirutnan,P., Suriyaphol,P., Chin-inmanu,K.",2021-02-22T00:00:00Z,P5.3 Thailand 2005,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10716,partial,,,,Thailand,,Homo sapiens,blood,2005-11,
MT832032,1,,"Fung,C.K., Li,T., Pollett,S., Alera,M.T., Yoon,I.K., Hang,J., Macareo,L., Srikiatkhachorn,A., Ellison,D., Rothman,A., Frenandez,S., Jarman,R.G., Maljkovic Berry,I.",2021-01-11T00:00:00Z,AB204803_D1_11,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Philippines,,Homo sapiens,blood,2013,
MT832033,1,,"Fung,C.K., Li,T., Pollett,S., Alera,M.T., Yoon,I.K., Hang,J., Macareo,L., Srikiatkhachorn,A., Ellison,D., Rothman,A., Frenandez,S., Jarman,R.G., Maljkovic Berry,I.",2021-01-11T00:00:00Z,AB204803_D1_2_cp1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Philippines,,Homo sapiens,,2015,
MT832034,1,,"Fung,C.K., Li,T., Pollett,S., Alera,M.T., Yoon,I.K., Hang,J., Macareo,L., Srikiatkhachorn,A., Ellison,D., Rothman,A., Frenandez,S., Jarman,R.G., Maljkovic Berry,I.",2021-01-11T00:00:00Z,AB204803_D1_2,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10141,partial,,,,Philippines,,Homo sapiens,blood,2015,
MT832035,1,,"Fung,C.K., Li,T., Pollett,S., Alera,M.T., Yoon,I.K., Hang,J., Macareo,L., Srikiatkhachorn,A., Ellison,D., Rothman,A., Frenandez,S., Jarman,R.G., Maljkovic Berry,I.",2021-01-11T00:00:00Z,AB204803_D1_3_cp1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Philippines,,Homo sapiens,,2012,
MT832036,1,,"Fung,C.K., Li,T., Pollett,S., Alera,M.T., Yoon,I.K., Hang,J., Macareo,L., Srikiatkhachorn,A., Ellison,D., Rothman,A., Frenandez,S., Jarman,R.G., Maljkovic Berry,I.",2021-01-11T00:00:00Z,AB204803_D1_3,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Philippines,,Homo sapiens,blood,2012,
MT832037,1,,"Fung,C.K., Li,T., Pollett,S., Alera,M.T., Yoon,I.K., Hang,J., Macareo,L., Srikiatkhachorn,A., Ellison,D., Rothman,A., Frenandez,S., Jarman,R.G., Maljkovic Berry,I.",2021-01-11T00:00:00Z,AB204803_D1_4_cp1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Philippines,,Homo sapiens,,2012,
MT832038,1,,"Fung,C.K., Li,T., Pollett,S., Alera,M.T., Yoon,I.K., Hang,J., Macareo,L., Srikiatkhachorn,A., Ellison,D., Rothman,A., Frenandez,S., Jarman,R.G., Maljkovic Berry,I.",2021-01-11T00:00:00Z,AB204803_D1_4,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,partial,,,,Philippines,,Homo sapiens,blood,2012,
